GI	OM	Gender	Age	EnrolmentFeeInCOP	PlaceOfOrigin	TypeOfHighSchool	GeneralTestScore	Biology	HistoryAndGeography	Philosophy	Phisics	English	Language	Math	Chemistry	NumberOfSemesters	Censored	NumberOfCoursesPassed
71	15	1	22,7	412412	0	0	48,8	50,4	53,6	40,5	50,6	48,9	50,5	48,1	49,4	7	1	28
74	22	1	23,4	431158	0	0	45,4	39,5	51,5	37,2	32,3	38,8	46,4	46,8	45,2	1	0	3
77	11	0	22,7	393666	0	0	44,6	52,8	51,5	51,3	39,3	58,1	33	46,6	47,4	1	0	0
126	19	1	23,1	449904	0	0	48,2	50,1	46,1	49,4	51	43,5	54,9	45	50,5	6	1	33
95	25	1	20,5	449904	0	0	44,7	55	49	40	35	49	45	49	47	1	0	2
105	27	1	21,8	449904	0	0	51,2	55	54	54	41	45	62	42	47	1	0	0
158	26	1	20,3	449904	1	0	59,6	59	52	49	55	55	54	69	59	1	0	6
133	28	1	27	412412	0	0	56,4	66,3	56,8	46,2	48,8	62,6	56,3	64,2	59,9	6	1	18
95	21	1	24,7	412412	0	0	44,8	48,2	41,6	25,8	42,8	38,3	45,1	52,2	41,6	1	0	5
119	27	1	26	393666	0	0	46,1	65,5	49,9	49,6	51,6	47,7	51,4	39,4	50,9	4	0	14
81	18	1	20,4	449904	0	0	37	28	36	36	47	30	30	36	41	7	1	27
86	13	0	21	449904	1	0	41,3	63	44	40	43	39	53	36	44	1	0	0
87	17	0	20,4	431158	0	0	47,1	55	39	40	51	49	46	49	47	7	1	24
113	22	1	20,2	449904	1	0	45,6	59	47	50	45	57	57	57	53	1	0	6
